Mission,State,From,To,Run By,Lat,Lon,Wikipedia,Find & Connect
Allgomera,NSW,1904,1920,,-30.7665,152.8298,,
Angledool,NSW,1911,1936,,-29.1084,147.9187,,
Baan Baa,NSW,1901,1918,,-30.594,149.9522,,
Ballina,NSW,1888,1914,,-28.8657,153.5088,,
Barrington,NSW,1890,1957,,-32.0001,151.8966,,
Bassendean,NSW,1924,1927,,-30.0732,151.1944,,
Batemans Bay,NSW,1902,1927,,-35.7148,150.1808,,
Bellbrook,NSW,1884,1954,,-30.8047,152.5216,,
Binnaway,NSW,1902,1954,,-31.4542,149.314,,
Blacks Camp,NSW,1832,1910,CMS – Church Missionary Society,32°33′39″S,148°58′38″E,https://en.wikipedia.org/wiki/Blacks_Camp,
Blacktown Native Institute,NSW,1822,1833,CMS – Church Missionary Society,-33.7330512,150.8460508,https://en.wikipedia.org/wiki/Blacktown_Native_Institution_Site,https://www.findandconnect.gov.au/entity/native-institution/
Blakney Creek,NSW,1881,1940,,-34.6448,149.0302,,
Boggabilla,NSW,1891,1918,,-28.5909,150.3603,,
Bomaderry,NSW,1908,1988,UAM – United Aborigines Mission,34.8554°S,150.6008°E,https://en.wikipedia.org/wiki/Bomaderry_Aboriginal_Children%27s_Home,https://www.findandconnect.gov.au/entity/bomaderry-aboriginal-childrens-home/
Bomaderry Children's Home,NSW,1900,1980,,-34.8554,150.6008,,
Booligal,NSW,1893,1906,,-33.9144,144.8547,,
Borah Crossing,NSW,1903,1961,,-30.7843,150.5652,,
Bowraville,NSW,1887,1955,RC – Roman Catholic,30°38′S,152°51′E,"https://en.wikipedia.org/wiki/Bowraville,_New_South_Wales",
Brewarrina Mission (Barwon Mission),NSW,1880,1967,GOVT – Government–run,29.9805°S,146.9661°E,https://en.wikipedia.org/wiki/Brewarrina_Aboriginal_Mission_Site,
Bridge Reserve,NSW,1860,1960,,-32.2214,148.2405,,
Brungle,NSW,1906,1945,,-35.1503,148.2344,,
Bulgandramine,NSW,1820,1957,,32°37′54″S,148°12′04″E,https://en.wikipedia.org/wiki/Parish_of_Bulgandramine,
Burnt Bridge (Kempsey),NSW,1931,1941,,-31.1079,152.8015,,
Burra Bee Dee Mission,NSW,1892,1957,,31°14′07″S,149°20′41″E,https://en.wikipedia.org/wiki/Burra_Bee_Dee_Mission,
Burragorang Valley,NSW,1889,1891,,-34.0961,150.3742,,
Burragorang Valley,NSW,1891,1954,,-34.1792,150.3157,,
Bushranger's Creek,NSW,1950,1960,,-32.5495,148.905,,
Byron Bay,NSW,1890,1896,,-28.6753,153.6065,,
Cabbage Tree Island,NSW,1912,1967,,-28.9817,153.4571,,
Caroona (Walhallow),NSW,1906,1963,,-31.395,150.42,,
Carore,NSW,1901,1915,,-29.385,149.8277,,
Carowra Tank,NSW,1907,1937,,-32.5657,144.8686,,
Clarenza,NSW,1908,1914,,-29.7095,152.9812,,
Clouds Creek,NSW,1887,1921,,-30.0043,152.717,,
Coffs Creek,NSW,1940,1950,,-30.2935,153.1191,,
Condobolin,NSW,1957,1970,,-33.0769,147.1492,,
Coolangatta,NSW,1899,1953,,-34.7796,150.7912,,
Cootamundra Aboriginal Girls' Training Home,NSW,1912,1974,,-34.6405,148.0456,,
Cootamundra Domestic Training Home for Aboriginal Girls,NSW,1912,1974,GOVT – Government–run,34.6406°S,148.0457°E,https://en.wikipedia.org/wiki/Cootamundra_Domestic_Training_Home_for_Aboriginal_Girls,https://www.findandconnect.gov.au/entity/cootamundra-training-home/
Cow Creek,NSW,1900,1952,,-30.6143,152.9697,,
Cubawee,NSW,1932,1964,,-28.794,153.2066,,
Cummeragunja Reserve,NSW,1883,1964,GOVT – Government–run,36.0279°S,144.9574°E,https://en.wikipedia.org/wiki/Cummeragunja_Reserve,
Cuppacunbalong,NSW,1895,1899,,-35.6257,149.0641,,
Currowan Creek,NSW,1893,1956,,-35.5698,150.1687,,
Cuttabri,NSW,1904,1939,,-30.3124,149.2225,,
Dalmeny,NSW,1861,1895,,-36.1793,150.1252,,
Dandaloo,NSW,1885,1967,,-32.2612,147.5894,,
Delegate,NSW,1892,1957,,-37.0436,148.9038,,
Dennawan (Tatala),NSW,1913,1969,,-29.1157,147.0266,,
Dingo Creek (Wingham),NSW,1906,1960,,-31.8414,152.2928,,
Dunoon,NSW,1903,1935,,-28.7299,153.2966,,
Edgerton,NSW,1910,1919,,-34.9037,149.0651,,
Erambie Mission,NSW,1890,1967,GOVT – Government–run,33.8464628°S,148.6782728°E,https://en.wikipedia.org/wiki/Erambie_Mission,
Euabalong,NSW,1910,1954,,-33.1242,146.4737,,
Eugowra,NSW,1889,1922,,-33.3556,148.2938,,
Eungai,NSW,1905,1920,,-30.8162,152.8437,,
Euraba,NSW,1898,1926,,-28.801,149.6391,,
Fattorini Islands,NSW,1885,1960,,-31.0106,152.953,,
Flakeney Creek,NSW,1870,1940,,-34.5864,148.95,,
Forbes,NSW,1909,1915,,-33.4183,148.0212,,
Gingi (Walgett),NSW,1941,1967,,-29.9896,148.0742,,
Gongolgon,NSW,1911,1912,,-30.5393,146.8731,,
Gooloogong,NSW,1915,1965,,-33.6083,148.4197,,
Goulburn Inland Mission Station,NSW,,,MTH – Methodist Overseas Mission,,,,
