Year,Prison,Policea,Youth detention,Other,Total
1979–80,4,1,1,0,6
1980–81,2,7,1,0,10
1981–82,3,2,0,0,5
1982–83,4,5,0,0,9
1983–84,2,3,0,0,5
1984–85,5,8,0,0,13
1985–86,4,5,0,0,9
1986–87,2,15,1,0,18
1987–88,4,6,1,0,11
1988–89,5,10,0,0,15
1989–90,9,9,0,0,18
1990–91,5,3,0,0,8
1991–92,4,7,0,0,11
1992–93,5,3,0,0,8
1993–94,12,3,0,0,15
1994–95,12,3,0,0,15
1995–96,13,6,0,0,19
1996–97,10,8,0,0,18
1997–98,11,5,0,0,16
1998–99,10,7,1,0,18
1999–2000,14,4,1,0,19
2000–01,14,7,0,0,21
2001–02,6,7,0,0,13
2002–03,13,12,0,0,25
2003–04,6,11,0,0,17
2004–05,8,11,0,0,19
2005–06,3,8,1,0,12
2006–07,8,3,0,0,11
2007–08,6,5,0,0,11
2008–09,7,8,0,0,15
2009–10,14,6,0,0,20
2010–11,12,7,1,0,20
2011–12,6,2,0,0,8
2012–13,8,4,0,0,12
2013–14,10,1,0,0,11
2014–15,15,3,0,0,18
2015–16,19,3,0,0,22
2016–17,15,8,0,0,23
2017–18,16,4,0,0,20
2018–19,16,6,0,0,22
2019–20,12,3,0,0,15
2020–21,12,4,0,0,16
2021–22,15,8,0,0,23
2022–23,21,10,0,0,31
2023–24,18,5,1,0,24
