From,To,Explorer,GeoJson,MapReference
1768,1771,Cook,1770 Cook.json,http://gutenberg.net.au/MapsAndCharts-sea-images/Image36-big.jpg;https://www.captaincooksociety.com/home/detail/the-first-voyage-1768-1771
1776,1779,Cook,1777 Cook.json,http://gutenberg.net.au/MapsAndCharts-sea-images/Image36-big.jpg
1790,1790,Tench and Dawes,1790 Tench and Dawes.json,http://gutenberg.net.au/mapsandcharts-land-images/1stexp-nk2456-126-e.jpg
1798,1798,Bass,1798 Bass.json,http://gutenberg.net.au/MapsAndCharts-sea-images/28-Tas-Flinders_big_res.jpg
1798,1798,Flinders,1798 Flinders I.json,http://gutenberg.net.au/MapsAndCharts-sea-images/28-Tas-Flinders_big_res.jpg
1798,1798,Flinders,1798 Flinders II.json,http://gutenberg.net.au/MapsAndCharts-sea-images/28-Tas-Flinders_big_res.jpg
1801,1803,Flinders,1801-1803 Flinders.json,http://gutenberg.net.au/MapsAndCharts-sea-images/27-Flinders_crop.jpg
1802,1802,Barrallier,1802 Barrallier.json,http://gutenberg.net.au/mapsandcharts-land-images/barral_big.jpg
1813,1814,Evans,1813-1814 Evans.json,http://gutenberg.net.au/mapsandcharts-land-images/Map-3697_b.jpg;http://gutenberg.net.au/mapsandcharts-land-images/evans-pic-01.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p11_oxley_etal.jpg
1815,1815,Evans,1815 Evans.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg
1817,1817,Oxley,1817 Oxley.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p11_oxley_etal.jpg
1818,1818,Oxley,1818 Oxley.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p11_oxley_etal.jpg
1823,1823,Cunningham,1823 Cunningham.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg
1824,1824,Hume and Hovell,1824 Hume and Hovell.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p45_hume_etal.jpg
1827,1827,Cunningham,1827 Cunningham.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg
1828,1828,Cunningham,1828 Cunningham.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_A_crop.jpg
1828,1829,Sturt,1828-1829 Sturt.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_B_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p45_hume_etal.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p11_oxley_etal.jpg
1829,1830,Sturt,1829-1830 Sturt.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_B_crop.jpg
1831,1832,Mitchell,1831-1832 Mitchell.json,https://upload.wikimedia.org/wikipedia/commons/4/41/Mitchell_explorations_NSW.png;https://www.sl.nsw.gov.au/stories/thomas-livingstone-mitchell-mapmaker;http://ergo.slv.vic.gov.au/sites/default/files/imagecache/download/go0037.jpg
1835,1835,Mitchell,1835 Mitchell.json,https://upload.wikimedia.org/wikipedia/commons/4/41/Mitchell_explorations_NSW.png;https://www.sl.nsw.gov.au/stories/thomas-livingstone-mitchell-mapmaker;http://ergo.slv.vic.gov.au/sites/default/files/imagecache/download/go0037.jpg
1836,1836,Mitchell,1836 Mitchell.json,http://gutenberg.net.au/mapsandcharts-land-images/p45_hume_etal.jpg;https://upload.wikimedia.org/wikipedia/commons/4/41/Mitchell_explorations_NSW.png;https://www.sl.nsw.gov.au/stories/thomas-livingstone-mitchell-mapmaker;http://ergo.slv.vic.gov.au/sites/default/files/imagecache/download/go0037.jpg
1836,1837,Grey,1836-1837 Grey.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg
1839,1839,Grey,1839 Grey.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg
1840,1841,Eyre,1840-1841 Eyre.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_C_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p141_eyre.jpg
1844,1845,Leichardt,1844-1845 Leichardt.json,http://gutenberg.net.au/mapsandcharts-land-images/p97_mitch_etal.jpg
1844,1846,Sturt,1844-1846 Sturt.json,http://gutenberg.net.au/mapsandcharts-land-images/p155_sturt.jpg
1845,1846,Mitchell,1845-1846 Mitchell.json,http://gutenberg.net.au/mapsandcharts-land-images/p97_mitch_etal.jpg;https://upload.wikimedia.org/wikipedia/commons/4/41/Mitchell_explorations_NSW.png;https://www.sl.nsw.gov.au/stories/thomas-livingstone-mitchell-mapmaker;http://ergo.slv.vic.gov.au/sites/default/files/imagecache/download/go0037.jpg
1847,1847,Kennedy,1847 Kennedy.json,http://gutenberg.net.au/mapsandcharts-land-images/p97_mitch_etal.jpg
1848,1848,Kennedy,1848 Kennedy.json,http://gutenberg.net.au/mapsandcharts-land-images/p97_mitch_etal.jpg
1858,1862,Stuart,1858-1862 Stuart.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_C_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p177_central.jpg
1860,1861,Burke and Wills,1860-1861 Burke and Wills.json,http://gutenberg.net.au/mapsandcharts-land-images/Scott_C_crop.jpg;http://gutenberg.net.au/mapsandcharts-land-images/p177_central.jpg;http://gutenberg.net.au/mapsandcharts-land-images/wills-map_res.jpg
1869,1869,Forrest,1869 Forrest.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg
1870,1870,Forrest,1870 Forrest.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg;http://gutenberg.net.au/mapsandcharts-land-images/Expeditions_John_Forrest.jpg
1870,1872,Todd and Ross,1870-1872 Todd-Ross Overland Telegraph.json,https://en.wikipedia.org/wiki/Australian_Overland_Telegraph_Line
1873,1873,Giles,1873 Giles.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg;http://gutenberg.net.au/mapsandcharts-land-images/Giles_alltrips_res.jpg
1873,1874,Gosse and Warburton,1873-1874 Gosse and Warburton.json,http://gutenberg.net.au/mapsandcharts-land-images/Gosse_Warb-rm4166-e.jpg
1874,1874,Forrest,1874 Forrest.json,http://gutenberg.net.au/mapsandcharts-land-images/p271_waexp.jpg
1879,1879,Forrest,1879 Forrest.json,http://gutenberg.net.au/mapsandcharts-land-images/Expeditions_John_Forrest.jpg
