Federal Electorate,State,Area_SqKM,2017 Estimated Resident Population counts,2019 Enrolled Voters,Aboriginal and/or Torres Strait Islander peoples,Indigenous Population,Indigenous Votes,Indigenous per SqKM
Adelaide,SA,86.38,"188,410","122,050",1.2%,2260.92,1464.6,26.17411438
Aston,VIC,113.78,"161,813","111,107",0.5%,809.065,555.535,7.110783969
Ballarat,VIC,4322.38,"154,461","115,918",1.3%,2007.993,1506.934,0.464557258
Banks,NSW,53.00721236,"164,403","107,182",0.8%,1315.224,857.456,24.81217067
Barker,SA,65206.36,"171,058","119,110",2.5%,4276.45,2977.75,0.065583327
Barton,NSW,39.60825532,"187,865","109,249",0.7%,1315.055,764.743,33.20153815
Bass,TAS,7975.955582,"104,784","76,979",3.4%,3562.656,2617.286,0.446674504
Bean,ACT,1913.969737,"138,303","105,166",2.1%,2904.363,2208.486,1.517455028
Bendigo,VIC,5496.5,"150,775","113,527",1.5%,2261.625,1702.905,0.411466388
Bennelong,NSW,60.26555734,"181,093","109,661",0.4%,724.372,438.644,12.01966815
Berowra,NSW,786.40134,"151,143","106,369",0.5%,755.715,531.845,0.96097878
Blair,QLD,6472.04186,"171,503","114,650",4.4%,7546.132,5044.6,1.165958466
Blaxland,NSW,61.07103098,"186,933","105,796",0.6%,1121.598,634.776,18.36546693
Bonner,QLD,371.3371955,"158,647","105,161",1.8%,2855.646,1892.898,7.690169567
Boothby,SA,115.62,"170,797","124,133",0.9%,1537.173,1117.197,13.29504411
Bowman,QLD,536.3070458,"154,617","109,745",2.3%,3556.191,2524.135,6.630886221
Braddon,TAS,21369.23884,"104,992","79,557",7.3%,7664.416,5807.661,0.35866584
Bradfield,NSW,101.3793615,"169,310","107,371",0.2%,338.62,214.742,3.340127566
Brand,WA,377.3406122,"172,893","107,925",2.4%,4149.432,2590.2,10.99651579
Brisbane,QLD,54.78510183,"174,646","115,922",1.0%,1746.46,1159.22,31.87837462
Bruce,VIC,95.9,"190,121","109,921",0.4%,760.484,439.684,7.929968717
Burt,WA,172.3742449,"177,620","106,496",2.4%,4262.88,2555.904,24.73037664
Calare,NSW,32666.2028,"165,791","118,051",6.3%,10444.833,7437.213,0.319744326
Calwell,VIC,265.5,"178,293","109,290",0.7%,1248.051,765.03,4.700757062
Canberra,ACT,312.2631422,"133,077","95,912",1.2%,1596.924,1150.944,5.114032956
Canning,WA,6304.282687,"153,064","108,201",2.0%,3061.28,2164.02,0.485587362
