Locality_name,AR_number,Associated_names,Location_comments,Lat,Lon,Year_gazetted_est_closure,Years_of_operation_as_mission,Reference,Parish_Maps,Type
Back Creek,AR 13843,,"Parish of Bungabee, County of Rous",,,1891-1900,,"Felton, 2013",,Unknown location reserves
Mongarlowe,AR 148,,"Parish of Mongarlowe, County of St Vincent",,,1879-1916,,"Felton, 2013, p.228",,Unknown location reserves
Unkya Creek,AR 19667,,"Parish of Warrell, County of Raleigh",,,1894-1962,,"Felton, 2013, p.220",,Unknown location reserves
Hillston,AR 23407,"Wallanthery, Willanthry","Parish of Willanthry, County of Nicholson. On property of Wallanthery, NE of Hillston",,,1895-1904,,"Felton, 2013, pp.189-190; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.460",,Unknown location reserves
Collarenebri,AR 29330,,"Parish of Collarindabri, County of Finch",,,1899-1924,,"Felton, 2013, p.144",,Unknown location reserves
Tenterfield,AR 31024,,"Parish of Woodside, County of Clive. Near Gypsies Range, 10 miles west of Tenterfield and north of Mole River",,,1900-1907,,"Felton, 2013, p.274",,Unknown location reserves
Narooma,AR 547,,"Parish of Wagonga, County of Dampier",,,,,"Felton, 2013, p.239",,Unknown location reserves
Condobolin,AR 55357/8,,"Parish of Culgoa, County of Cunningham",,,1919?-unknown,,"Felton, 2013, p.146",,Unknown location reserves
Gilgandra,AR 57420,,"Parish Unknown, probably County of Ewenmar",,,,,"Felton, 2013, p.172",,Unknown location reserves
Collarenebri,AR 67377,,"Parish of Collarindabri, County of Finch",,,1938-1976,,"Felton, 2013, p.144",,Unknown location reserves
Peak Hill,AR 85081,,"Parish of Mingelo, County of Narromine. Town housing site",,,1964-,,"Felton, 2013",,Unknown location reserves
Peak Hill,AR 86785,,"Parish of Mingelo, County of Narromine. Town housing site",,,1968-,,"Felton, 2013",,Unknown location reserves
Walgett,AR 9656,,"Parish of Merritombea, County of Baradine",,,1889-1895,,"Felton, 2013, p.287",,Unknown location reserves
Ballengarra,,Ballenjarra,"Probably Parish of Ballengarra, County of Macquarie",,,1894-1940s?,,"Felton, 2013, p.253",,Unknown location reserves
Blaxlands Creek,"AR 2956, AR 15679",,"Parish of Elland, County of Clarence",,,1892-?,,"Felton, 2013, p.178",,Unknown location reserves
Camira,,,"Parish of Camira, County of Richmond",,,1887-?,,"Felton, 2013, p.181",,Unknown location reserves
Cargo,AR 1056,,"Parish of Canomadine, County of Ashburnham",,,1879-1893,,"Felton, 2013, p.137",,Unknown location reserves
Fingal Head,Unknown,,"Parish of Terranora, County of Rous",,,1960s-,,"Felton, 2013, pp.281-282",,Unknown location reserves
Iron Pot Creek,AR 6269,,"Parish of Toonumbar and Babyil, County of Rous",,,1888-1891,,"Felton, 2013, p.269",,Unknown location reserves
Kangaroo Valley,AR 12445,,"Parish of Burrawang, County of Camden",,,1890-1899,,"Felton, 2013, p.198",,Unknown location reserves
Lismore,Unknown,,"Parish of Lismore, County of Rous. Town housing site",,,1962-,,"Felton, 2013, p.219",,Unknown location reserves
Milparinka,,,"Parish of Milparinka, County of Evelyn",,,,,"Felton, 2013, p.226",,Unknown location reserves
Moulamein,"AR 85795, AR 86526",,"Parish of Moulamein, County of Wakool",,,1966-,,"Felton, 2013, pp. 231-232",,Unknown location reserves
Mundiwa,,,"Parish Unknown, Probably County of Narran",,,,,"Felton, 2013, pp. 232-233",,Unknown location reserves
Pretty Gully,"AR 43599, AR 43600",,"Parish of Jenny Lind, County of Buller",,,1909-1917,,"Felton, 2013, p.269",,Unknown location reserves
Redbourneberry Reserve (Singleton),"AR 7678, 13791, 24231",Singleton,"Parish of Darlington, County of Durham",,,1889-1911,,"Felton, 2013, p.191",,Unknown location reserves
Trial Bay,AR 217,Arakoon?,"Parish of Arakoon, County of Macquarie",,,1883-1891,,"Felton, 2013, p.280",,Unknown location reserves
Woolbrook (Walcha Road),,,"Parish Unknown, Probably County of Inglis",,,1896-1941?,,"Felton, 2013, p.303",,Unknown location reserves
Yantabulla,,,"Parish Unknown, County of Irrara",,,,,"Felton, 2013, p.304",,Unknown location reserves
Angledool,AR 41025/6,"Angledool Aboriginal Station, New Angledool","Close to township of New Angledool, within 1km",-29.1084,147.9187,1906-,1911-1936,"Felton, 2013, p.242; NSW Office of Environment & Heritage 2013, Angledool Reserve and Cemetery, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5062844>","New South Wales Department of Lands 1984, 'Map of the County of Narran, Land District of Brewarrina, Western Division, N.S.W.', Department of Lands, Sydney.",Stations
Bassendean,,Mooki Station,Station was located in vicinity of Moredum [Clerk's/Kelly's] Creek. 12 miles from Tingha and 12 miles from Bundarra,-30.0732,151.1944,1924-1927,1924-1927,"Felton, 2013, p.94",,Stations
Bellbrook,"AR 1, AR 49982",,Near Bellbrook,-30.8047,152.5216,1884-1954,1932-1954,"Felton, 2013, p.365","New South Wales Department of Lands 1923, 'Parish of Nulla Nulla, County of Dudley, Land District of Kempsey, Macleay Shire, Eastern Division N.S.W.', 4th edn, Department of Lands, Sydney.",Stations
Brewarrina,AR 3152,Quantambone Station,"10 miles east of town, northern bank of Barwon River",-29.9804,146.9661,1885-,1894-1965,"Felton, 2013, p.119; NSW Office of Environment & Heritage 2006, Brewarrina Aboriginal Mission Site, viewed 9 May 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?ID=5053415>","New South Wales Department of Lands 1984, 'Map of the County of Narran, Land District of Brewarrina, Western Division, N.S.W.', Department of Lands, Sydney.",Stations
Brungle,"AR 9971, AR 12489, AR 30722, AR 44288/9, AR 77806",,23km from Tumut,-35.1503,148.2344,1888-,1906-1945,"Felton, 2013, p.122; Hamilton, F & New South Wales Department of Environment and Conservation 2004, Aboriginal women’s heritage: Brungle & Tumut, Aboriginal women’s heritage, Dept. of Environment and Conservation, Hurstville, NSW","New South Wales Department of Lands 1896, 'Parish of Brungle, County of Buccleuch, Land Districts of Gundagai & Tumut, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Bulgandramine,"AR 41699/700, AR 59878/9",,"Located on Bogan River, 12 miles north of Peak Hill. Later become Aboriginal station in 1931",-32.5863,148.0551,1907-1959,1931-1941,"Felton, 2013, p.124; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, pp. 178-189","New South Wales Department of Lands 1920, 'Parish of Mungerie, County of Kennedy, Land District of Parkes, Goobang Shire, Central Division N.S.W.', 5th edn, Department of Lands, Sydney.",Stations
Burnt Bridge (Kempsey),"AR 20865/6, AR 27273, AR 27299, AR 68441/2",Euroka Creek,3 miles south of Kempsey. Several reserves,-31.1079,152.8015,1894-,1936-1967,"Felton, 2013, p.365","New South Wales Department of Lands 1900, 'Parish of Kalateenee, County of Dudley, Land District of Kempsey, Eastern Division N.S.W.', 2nd edn, Department of Lands, Sydney.",Stations
Burra Bee Dee (Coonabarabran),"AR 15156, AR 40125, AR 46876, AR 47521","Coonabarabran, Forky Mountain, Forked Mountain Aboriginal Reserve","Gunnedah road, 7 miles from Coonabarabran",-31.2352,149.3448,1893-,1910-1964,"Felton, 2013, pp. 146-147, 365; NSW Office of Environment & Heritage 2004, Burra Bee Dee Mission, viewed 22 June 2016, <http://www.environment.nsw.gov.au/heritageapp/ViewHeritageItemDetails.aspx?id=5054965>","New South Wales Department of Lands 1960, 'Parish of Coonabarabran, County of Gowen, Land District of Coonabarabran, Coonabarabran Shire, Central Division N.S.W.', 9th edn, Department of Lands, Sydney.",Stations
Cabbage Tree Island,AR 52180/1,,"Located on an island in the Richmond River, 5km south of Wardell",-28.9817,153.4571,1893-,1912-1967,"Felton, 2013, p.365; NSW Office of Environment and Heritage 2013, Living on Cabbage Tree Island, viewed 17 August 2016, <http://www.environment.nsw.gov.au/nswcultureheritage/cabbagetree.htm>","New South Wales Department of Lands 1916, 'Parish of Broadwater, County of Rous, Land District of Lismore, Gundurimba and Tintenbar Shires, Eastern Division N.S.W.', 7th edn, Department of Lands, Sydney.",Stations
Caroona (Walhallow),"AR 21970, AR 28828, AR 30777","Walhallow Station, Quirindi","Near village of Caroona, 20 miles from Quirindi",-31.395,150.42,1895-,1906-1963,"Felton, 2013, p.137","New South Wales Department of Lands 1905, 'Parish of Doona, County of Pottinger, Land District of Murrurundi, Eastern Division N.S.W.', 3rd edn, Department of Lands, Sydney.",Stations
Carowra Tank,"AR 41384/5, AR 41386/7",,"Located 40 miles NE of Ivanhoe and 30 miles north of Trida, on 'Wing Ding' property",-32.5657,144.8686,1907-1937,1925-1933,"Felton, 2013, p.138; Kabaila, PR 2011, Survival legacies: stories from Aboriginal settlements of southeastern Australia, Canprint, Canberra, p.461","New South Wales Department of Lands 1911, 'Map of the County of Mossgiel, Western Division, Land District of Hillston North, N.S.W.', Department of Lands, Sydney.",Stations
