Name,Features,Alternative Name,Wikipedia,Commenced,Opened,Closed,Line Length (km)
MAIN SUBURBAN RAILWAY,98,,https://en.wikipedia.org/wiki/Main_Suburban_railway_line,1850,1855,,10
GAWLER,20,,https://en.wikipedia.org/wiki/Gawler_line,,1857,1911,42
GAWLER - PENRICE,3,,https://en.wikipedia.org/wiki/Gawler_line,,1857,,42
WERRIBEE LINE,56,,https://en.wikipedia.org/wiki/Werribee_line,1857,1859,,33
SYDENHAM LINE,39,Sunbury line,https://en.wikipedia.org/wiki/Sunbury_line,,1859,,40
WILLIAMSTOWN LINE,10,,https://en.wikipedia.org/wiki/Williamstown_line,,1859,,16
GAWLER - ADELAIDE,31,,https://en.wikipedia.org/wiki/Gawler_line,1857,1860,,42
GAWLER LINE,30,,https://en.wikipedia.org/wiki/Gawler_line,1857,1860,,42
GAWLER - KAPUNDA,15,,https://en.wikipedia.org/wiki/Morgan_railway_line,,1860,2003,129
BENDIGO LINE,232,,https://en.wikipedia.org/wiki/Bendigo_line,,1862,,172
GEELONG-BALLARAT,2,,https://en.wikipedia.org/wiki/Geelong%E2%80%93Ballarat_railway_line,1858,1862,,
MAIN LINE,74,Roma Street to Rosewood,"https://en.wikipedia.org/wiki/Main_Line_railway,_Queensland",1865,1867,,161
PICTON MITTAGONG LOOP LINE,20,,https://en.wikipedia.org/wiki/Picton%E2%80%93Mittagong_loop_railway_line,,1867,,
PELICAN POINT LINE,23,,https://en.wikipedia.org/wiki/Dry_Creek-Port_Adelaide_railway_line,,1868,,8
STEAMRANGER,36,,https://en.wikipedia.org/wiki/Victor_Harbor_railway_line,1854,1869,1984,
CABRAMATTA GRANVILLE RAILWAY,26,,https://en.wikipedia.org/wiki/Leppington_%26_Inner_West_Line,1860,1870,,
WESTERN LINE,617,Launceston and Western Line,"https://en.wikipedia.org/wiki/Western_Line,_Tasmania",,1871,,223
CASTLEMAINE-MARYBOROUGH LINE,84,Moolort Line,https://en.wikipedia.org/wiki/Moolort_railway_line,1874,1874,2011,55
PIONEER MILL,146,,https://en.wikipedia.org/wiki/Rail_transport_in_Queensland#History,,1875,,
PORT PIRIE LINE,11,,https://en.wikipedia.org/wiki/Port_Pirie,,1875,,
SOUTH LINE,364,Main Line,"https://en.wikipedia.org/wiki/South_Line,_Tasmania",,1876,,199
IPSWICH/ROSEWOOD LINE,138,Roma Street to Ipswich,https://en.wikipedia.org/wiki/Ipswich_and_Rosewood_railway_line,,1876,,57
EAGLEHAWK-INGLEWOOD LINE,44,,https://en.wikipedia.org/wiki/Eaglehawk%E2%80%93Inglewood_railway_line,,1876,2007,50
DENILIQUIN LINE,39,,https://en.wikipedia.org/wiki/Deniliquin_railway_line,1859,1876,,
MELBOURNE-MURRAY RIVER,18,,https://en.wikipedia.org/wiki/Deniliquin_railway_line,1859,1876,,
MOAMA DENILIQUIN RAILWAY,16,,https://en.wikipedia.org/wiki/Deniliquin_railway_line,1859,1876,,
ROSEWOOD LINE,15,,https://en.wikipedia.org/wiki/Ipswich_and_Rosewood_railway_line,,1876,,
MELBOURNE MURRAY RIVER RAILWAY,10,,https://en.wikipedia.org/wiki/Deniliquin_railway_line,1859,1876,,325
ROSEWOOD RAILWAY,10,,https://en.wikipedia.org/wiki/Ipswich_and_Rosewood_railway_line,,1876,,57
STAWELL ARARAT,4,,https://en.wikipedia.org/wiki/Ararat_railway_line,,1876,,
NARACOORTE - KINGSTON,1,,https://en.wikipedia.org/wiki/Kingston_SE_railway_line,,1876,1987,
PORTLAND LINE,161,,https://en.wikipedia.org/wiki/Portland_railway_line,,1877,,
HAMLEY BRIDGE - BURRA,11,,https://en.wikipedia.org/wiki/Roseworthy%E2%80%93Peterborough_railway_line,,1878,1990,199
BURRA - HALLETT,1,,https://en.wikipedia.org/wiki/Roseworthy%E2%80%93Peterborough_railway_line,,1878,1990,199
KAPUNDA - EUDUNDA,1,,https://en.wikipedia.org/wiki/Morgan_railway_line,,1878,1994,129
PAKENHAM LINE,123,,https://en.wikipedia.org/wiki/Pakenham_line,1877,1879,,63
BELLARINE RAIL TRAIL,35,,https://en.wikipedia.org/wiki/Bellarine_Railway,,1879,1976,
PICHI RICHI RAIL,34,,https://en.wikipedia.org/wiki/Pichi_Richi_Railway,,1879,1970,39
BELLARINE PENINSULA RAILWAY,25,,https://en.wikipedia.org/wiki/Bellarine_Railway,,1879,,16
SPRINGS-WAHGUNYAH RAILWAY,6,,https://en.wikipedia.org/wiki/Wahgunyah_railway_line,,1879,1995,
MOUNT GAMBIER - MILLICENT,2,,"https://en.wikipedia.org/wiki/Millicent,_South_Australia",,1879,1995,
GEELONG-QUEENSCLIFF,1,,https://en.wikipedia.org/wiki/Bellarine_Railway,,1879,1976,16
DAYLESFORD SPA COUNTRY RAILWAY,70,,https://en.wikipedia.org/wiki/Daylesford_Spa_Country_Railway,,1880,1978,
CARLSRUHE-DAYLESFORD,20,,https://en.wikipedia.org/wiki/Daylesford_Spa_Country_Railway,,1880,1978,
CARLSRUHE & DAYLESFORD RAILWAY,16,,https://en.wikipedia.org/wiki/Daylesford_Spa_Country_Railway,,1880,1978,
ROSEWORTHY - BALAKLAVA,12,,https://en.wikipedia.org/wiki/Hamley_Bridge%E2%80%93Gladstone_railway_line,,1880,2004,147
MAIN SOUTHERN RAILWAY,575,Great Southern Railway,"https://en.wikipedia.org/wiki/Main_Southern_railway_line,_New_South_Wales",1855,1881,,650
HALLETT - PETERBOROUGH,6,,https://en.wikipedia.org/wiki/Roseworthy%E2%80%93Peterborough_railway_line,1880,1881,2007,
MOUNT GAMBIER - VIC BORDER,3,,https://en.wikipedia.org/wiki/Mount_Gambier_railway_line,,1881,1995,
LILYDALE LINE,182,,https://en.wikipedia.org/wiki/Lilydale_line,1860,1882,,38
FRANKSTON LINE,113,,https://en.wikipedia.org/wiki/Frankston_line,1881,1882,,43
JUNEE HAY RAILWAY,76,,https://en.wikipedia.org/wiki/Hay_railway_line,,1882,,
YANCO GRIFFITH RAILWAY,35,,https://en.wikipedia.org/wiki/Yanco%E2%80%93Griffith_railway_line,,1882,,
FASSIFERN BRANCH RAILWAY,22,Ipswich to Dugandan,https://en.wikipedia.org/wiki/Dugandan_railway_line,,1882,1964,57
PETERBOROUGH - EURELIA (STEAMTOWN RAIL SOCIETY),1,,https://en.wikipedia.org/wiki/Peterborough%E2%80%93Quorn_railway_line,1881,1882,1988,
NORTH EASTERN RAILWAY,360,North East railway line,https://en.wikipedia.org/wiki/North_East_railway_line,1860,1883,,308
NORTH EASTERN,125,,https://en.wikipedia.org/wiki/North_East_railway_line,1860,1883,,308
BELAIR LINE,23,,https://en.wikipedia.org/wiki/Belair_line,,1883,,22
BELAIR - ADELAIDE,1,,https://en.wikipedia.org/wiki/Belair_line,,1883,,22
TENNYSON BRANCH,67,Yerongpilly to Corinda,https://en.wikipedia.org/wiki/Corinda%E2%80%93Yeerongpilly_railway_line,,1884,,4
MOUNT PERRY BRANCH RAILWAY,18,Bundaberg to Mount Perry,https://en.wikipedia.org/wiki/Mount_Perry_railway_line,1881,1884,1993,
