New South Wales,State,1788,1856,https://en.wikipedia.org/wiki/New_South_Wales
Queensland,State,1824,1859,https://en.wikipedia.org/wiki/Queensland
South Australia,State,1836,1857,https://en.wikipedia.org/wiki/South_Australia
Tasmania,State,1803,1856,https://en.wikipedia.org/wiki/Tasmania
Victoria,State,1834,1855,https://en.wikipedia.org/wiki/Victoria_(Australia)
Western Australia,State,1826,1890,https://en.wikipedia.org/wiki/Western_Australia
Australian Capital Territory,Internal Territory,1823,1988,https://en.wikipedia.org/wiki/Australian_Capital_Territory
Jervis Bay Territory,Internal Territory,1911,1988,https://en.wikipedia.org/wiki/Jervis_Bay_Territory
Northern Territory,Internal Territory,1824,1978,https://en.wikipedia.org/wiki/Northern_Territory
Ashmore and Cartier Islands,External Territory,,,https://en.wikipedia.org/wiki/Ashmore_and_Cartier_Islands
Australian Antartic Territory,External Territory,1954,1933,https://en.wikipedia.org/wiki/Australian_Antarctic_Territory
Christmas Island,External Territory,1888,1958,https://en.wikipedia.org/wiki/Christmas_Island
Cocos (Keeling) Islands,External Territory,1825,1955,https://en.wikipedia.org/wiki/Cocos_(Keeling)_Islands
Coral Sea Islands,External Territory,1921,1969,https://en.wikipedia.org/wiki/Coral_Sea_Islands
Heard Island and McDonald Islands,External Territory,,1947,https://en.wikipedia.org/wiki/Heard_Island_and_McDonald_Islands
Norfolk Island,External Territory,1788,1914,https://en.wikipedia.org/wiki/Norfolk_Island
